City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,longyearbyen,78.2186,15.6401,3.91,75,75,11.83,SJ,2023-10-19
1,nuuk,64.1835,-51.7216,-3.66,58,75,11.32,GL,2023-10-19
2,port-aux-francais,-49.35,70.2167,1.32,78,95,10.33,TF,2023-10-19
3,novodvinsk,64.4165,40.8122,3.77,78,100,3.97,RU,2023-10-19
4,marks,51.7111,46.7486,7.87,61,97,3.73,RU,2023-10-19
5,port elizabeth,-33.918,25.5701,16.16,96,75,1.03,ZA,2023-10-19
6,lebu,-37.6167,-73.65,9.73,89,6,1.28,CL,2023-10-19
7,pechora,65.1472,57.2244,1.59,97,100,3.58,RU,2023-10-19
8,geraldton,-28.7667,114.6,24.23,53,100,4.63,AU,2023-10-19
9,gargalianoi,37.0667,21.6333,17.97,82,21,3.41,GR,2023-10-19
10,hamilton,39.1834,-84.5333,13.76,80,0,2.57,US,2023-10-19
11,kenai,60.5544,-151.2583,8.05,74,0,2.57,US,2023-10-19
12,grytviken,-54.2811,-36.5092,3.35,70,100,4.19,GS,2023-10-19
13,puerto ayora,-0.7393,-90.3518,24.19,96,73,1.34,EC,2023-10-19
14,nagqu,31.5,92.0,-4.77,84,100,1.2,CN,2023-10-19
15,san matias,-16.3667,-58.4,29.8,37,9,1.07,BO,2023-10-19
16,lazaro cardenas,17.9583,-102.2,23.52,94,100,3.47,MX,2023-10-19
17,kununurra,-15.7667,128.7333,36.99,11,0,4.63,AU,2023-10-19
18,saint-leu,-21.15,55.2833,24.48,96,59,1.97,RE,2023-10-19
19,tandil,-37.3217,-59.1332,10.94,43,100,3.56,AR,2023-10-19
20,constitucion,-35.3333,-72.4167,9.95,84,0,3.52,CL,2023-10-19
21,alaghsas,17.0187,8.0168,27.04,18,42,3.53,NE,2023-10-19
22,missoula,47.0166,-113.8009,9.2,71,13,2.05,US,2023-10-19
23,utrik,11.2278,169.8474,28.32,71,86,7.88,MH,2023-10-19
24,invercargill,-46.4,168.35,15.57,70,98,7.6,NZ,2023-10-19
25,arraial do cabo,-22.9661,-42.0278,21.92,83,75,2.57,BR,2023-10-19
26,greymouth,-42.4667,171.2,12.99,68,55,3.26,NZ,2023-10-19
27,trujillo,-8.116,-79.03,18.98,88,75,5.14,PE,2023-10-19
28,puerto natales,-51.7236,-72.4875,6.56,93,100,1.85,CL,2023-10-19
29,mizque,-17.941,-65.3402,18.6,71,5,1.53,BO,2023-10-19
30,crane,31.3974,-102.3501,23.6,29,0,6.65,US,2023-10-19
31,walvis bay,-22.9575,14.5053,15.61,82,14,3.6,NA,2023-10-19
32,progreso,21.2833,-89.6667,26.06,66,42,6.34,MX,2023-10-19
33,port alfred,-33.5906,26.891,16.21,97,6,2.42,ZA,2023-10-19
34,west island,-12.1568,96.8225,26.99,78,40,6.17,CC,2023-10-19
35,saint-philippe,-21.3585,55.7679,24.77,88,58,2.45,RE,2023-10-19
36,iqaluit,63.7506,-68.5145,-1.15,100,100,3.6,CA,2023-10-19
37,udachny,66.4167,112.4,-10.86,85,100,2.06,RU,2023-10-19
38,bredasdorp,-34.5322,20.0403,15.12,93,4,5.61,ZA,2023-10-19
39,waitangi,-43.9535,-176.5597,12.68,80,99,4.92,NZ,2023-10-19
40,edinburgh of the seven seas,-37.0676,-12.3116,13.82,93,76,9.18,SH,2023-10-19
41,pruzhany,52.5567,24.4644,3.93,90,99,1.73,BY,2023-10-19
42,tiksi,71.6872,128.8694,-5.7,97,100,2.89,RU,2023-10-19
43,tazovsky,67.4667,78.7,4.03,96,100,4.7,RU,2023-10-19
44,ushuaia,-54.8,-68.3,12.81,93,0,4.47,AR,2023-10-19
45,tolanaro,-25.0319,46.9987,24.04,94,75,3.09,MG,2023-10-19
46,umm kaddadah,13.6017,26.6876,25.54,18,95,7.18,SD,2023-10-19
47,praya,14.9215,-23.5087,26.94,77,35,4.54,CV,2023-10-19
48,dudinka,69.4058,86.1778,4.79,99,100,7.6,RU,2023-10-19
49,dhidhdhoo,6.8833,73.1,27.48,78,45,3.47,MV,2023-10-19
50,kargil,34.5667,76.1,1.4,54,26,0.64,IN,2023-10-19
51,albany,42.6001,-73.9662,11.24,90,79,0.97,US,2023-10-19
52,anadyr,64.75,177.4833,-5.72,67,0,6.71,RU,2023-10-19
53,urangan,-25.3,152.9,22.09,54,21,7.89,AU,2023-10-19
54,puerto gaitan,4.3133,-72.0816,27.98,69,23,0.74,CO,2023-10-19
55,kapit,2.0167,112.9333,23.29,99,100,0.49,MY,2023-10-19
56,keflavik,64.0049,-22.5624,10.24,81,100,19.55,IS,2023-10-19
57,jamestown,42.097,-79.2353,9.84,75,0,2.24,US,2023-10-19
58,karratha,-20.7377,116.8463,35.89,15,0,2.82,AU,2023-10-19
59,blackmans bay,-43.0167,147.3167,20.85,60,100,1.34,AU,2023-10-19
60,kushk,33.2957,61.9522,15.95,36,0,1.21,AF,2023-10-19
61,petropavlovsk-kamchatsky,53.0452,158.6483,13.33,88,0,6.0,RU,2023-10-19
62,talnakh,69.4865,88.3972,4.56,99,100,5.54,RU,2023-10-19
63,margaret river,-33.95,115.0667,16.29,55,94,3.36,AU,2023-10-19
